SECCION_CO,LOTES,PREDIOS,UCensales,RazonUnidx,DifUC_Pred
05001300101,667,806,1285,1.6,479.0
05001300102,41,44,90,2.0,46.0
05001300103,469,519,820,1.6,301.0
05001300104,17,15,122,8.1,107.0
05001300105,323,344,678,2.0,334.0
05001300106,332,412,542,1.3,130.0
05001300107,323,390,571,1.5,181.0
05001300108,221,236,314,1.3,78.0
05001300109,19,22,26,1.2,4.0
05001300110,250,278,456,1.6,178.0
05001300111,40,45,61,1.4,16.0
05001300112,11,13,11,0.8,-2.0
05001300113,26,25,28,1.1,3.0
05001300114,82,97,199,2.1,102.0
05001300115,19,18,76,4.2,58.0
05001300116,21,22,69,3.1,47.0
05001300117,30,36,71,2.0,35.0
05001300118,32,32,106,3.3,74.0
05001300119,106,117,253,2.2,136.0
05001300120,63,83,333,4.0,250.0
05001300121,114,121,343,2.8,222.0
05001300122,134,139,270,1.9,131.0
05001300201,66,71,118,1.7,47.0
05001300202,289,336,591,1.8,255.0
05001300203,879,1099,1942,1.8,843.0
05001300204,322,401,834,2.1,433.0
05001300205,88,106,173,1.6,67.0
05001300206,872,1285,3399,2.6,2114.0
05001300208,41,57,63,1.1,6.0
05001300209,9,9,9,1.0,0.0
05001300210,16,19,29,1.5,10.0
05001300211,183,208,291,1.4,83.0
05001300212,243,369,467,1.3,98.0
05001300213,65,74,136,1.8,62.0
05001300214,50,58,95,1.6,37.0
05001300215,45,54,147,2.7,93.0
05001300216,352,784,1830,2.3,1046.0
05001300217,173,201,609,3.0,408.0
05001300301,165,185,381,2.1,196.0
05001300302,476,700,1868,2.7,1168.0
05001300303,452,541,985,1.8,444.0
05001300304,1297,1515,2331,1.5,816.0
05001300306,74,452,289,0.6,-163.0
05001300307,13,16,45,2.8,29.0
05001300308,39,327,221,0.7,-106.0
05001300309,157,244,397,1.6,153.0
05001300310,73,83,61,0.7,-22.0
05001300311,94,101,95,0.9,-6.0
05001300312,306,365,345,0.9,-20.0
05002300101,287,287,339,1.2,52.0
05002300102,221,221,263,1.2,42.0
05002300103,263,263,308,1.2,45.0
05002300104,221,221,246,1.1,25.0
05002300105,171,171,191,1.1,20.0
05002300106,202,202,264,1.3,62.0
05002300201,453,454,555,1.2,101.0
05002300202,293,293,372,1.3,79.0
05002300203,562,562,721,1.3,159.0
05002300204,401,401,469,1.2,68.0
05002300205,212,210,255,1.2,45.0
05002300206,155,155,188,1.2,33.0
05002300301,375,374,472,1.3,98.0
05002300302,106,106,140,1.3,34.0
05002300303,701,700,901,1.3,201.0
05002300401,440,442,657,1.5,215.0
05002300402,405,405,536,1.3,131.0
05002300403,283,283,500,1.8,217.0
05002300501,564,563,773,1.4,210.0
05002300502,295,295,369,1.3,74.0
05002300503,200,200,241,1.2,41.0
05002300504,452,452,735,1.6,283.0
05002300505,223,223,320,1.4,97.0
05002300506,216,214,248,1.2,34.0
05004300101,20,19,45,2.4,26.0
05004300102,70,69,149,2.2,80.0
05004300103,17,16,31,1.9,15.0
05004300104,30,30,36,1.2,6.0
05004300105,85,85,91,1.1,6.0
05004300201,124,124,275,2.2,151.0
05004300202,61,61,122,2.0,61.0
05004300203,156,156,160,1.0,4.0
05004300204,79,79,106,1.3,27.0
05004300301,72,72,87,1.2,15.0
05004300302,24,23,34,1.5,11.0
05004300303,31,31,42,1.4,11.0
05004300304,38,38,44,1.2,6.0
05004300305,18,18,20,1.1,2.0
05021300101,274,274,331,1.2,57.0
05021300102,334,334,415,1.2,81.0
05021300103,292,292,380,1.3,88.0
05021300104,360,360,427,1.2,67.0
05021300105,182,182,262,1.4,80.0
05021300106,52,52,58,1.1,6.0
05030300101,852,848,1332,1.6,484.0
05030300102,2116,1917,4154,2.2,2237.0
05030300103,714,1295,1461,1.1,166.0
05030300104,1541,1994,3244,1.6,1250.0
05031300101,6,6,5,0.8,-1.0
05031300102,10,10,29,2.9,19.0
05031300103,40,40,146,3.7,106.0
05031300104,30,30,213,7.1,183.0
05031300201,39,39,135,3.5,96.0
05031300202,32,32,75,2.3,43.0
05031300203,66,66,98,1.5,32.0
05031300204,68,68,82,1.2,14.0
05031300205,91,91,182,2.0,91.0
05031300301,1,1,2,2.0,1.0
05031300302,22,22,56,2.5,34.0
05031300303,5,5,42,8.4,37.0
05031300304,14,14,20,1.4,6.0
05031300305,11,11,9,0.8,-2.0
05031300401,65,65,97,1.5,32.0
05031300402,69,69,84,1.2,15.0
05031300403,35,35,63,1.8,28.0
05031300404,32,32,33,1.0,1.0
05031300405,89,89,143,1.6,54.0
05031300406,92,92,131,1.4,39.0
05031300502,3,3,10,3.3,7.0
05031300503,2,2,11,5.5,9.0
05031300504,26,26,62,2.4,36.0
05031300601,41,41,57,1.4,16.0
05031300602,80,80,115,1.4,35.0
05031300603,28,28,64,2.3,36.0
05031300604,43,43,82,1.9,39.0
05031300605,23,23,43,1.9,20.0
05031300701,46,46,110,2.4,64.0
05031300702,119,119,179,1.5,60.0
05031300703,106,106,140,1.3,34.0
05031300704,43,43,49,1.1,6.0
05031300801,208,207,291,1.4,84.0
05031300802,151,151,259,1.7,108.0
05031300803,25,25,30,1.2,5.0
05031300804,50,50,82,1.6,32.0
05031300901,48,48,72,1.5,24.0
05031300902,27,27,31,1.1,4.0
05031300903,53,53,103,1.9,50.0
05031300904,97,95,170,1.8,75.0
05031300905,65,64,153,2.4,89.0
05031301001,57,57,65,1.1,8.0
05031301002,57,57,70,1.2,13.0
05031301003,19,19,20,1.1,1.0
05031301004,148,148,216,1.5,68.0
05031301005,176,176,223,1.3,47.0
05031301006,49,49,98,2.0,49.0
05031301007,31,31,62,2.0,31.0
05031301101,88,88,123,1.4,35.0
05031301102,23,23,69,3.0,46.0
05031301103,127,127,183,1.4,56.0
05031301104,71,71,145,2.0,74.0
05031301105,142,142,218,1.5,76.0
05034300101,610,503,779,1.5,276.0
05034300102,494,483,793,1.6,310.0
05034300103,1164,1185,1809,1.5,624.0
