codigo,c_1,c_2,c_3,p_1,p_2,p_3
185923001,6,0,0,100.0,0.0,0.0
185923002,2,0,0,100.0,0.0,0.0
185923003,139,1,0,99.3,0.7,0.0
185923004,20,0,0,100.0,0.0,0.0
185923006,0,0,0,0.0,0.0,0.0
185923007,22,0,2,91.7,0.0,8.3
185923008,434,8,32,91.6,1.7,6.8
185923009,229,2,0,99.1,0.9,0.0
185923010,246,1,10,95.7,0.4,3.9
185923011,118,1,11,90.8,0.8,8.5
185923012,249,1,14,94.3,0.4,5.3
185923013,322,17,47,83.4,4.4,12.2
185923014,1,0,0,100.0,0.0,0.0
185923015,269,2,0,99.3,0.7,0.0
185923016,92,0,0,100.0,0.0,0.0
185923017,4,0,0,100.0,0.0,0.0
185923018,0,0,0,0.0,0.0,0.0
185923019,393,8,2,97.5,2.0,0.5
185923020,13,0,0,100.0,0.0,0.0
185923021,116,1,0,99.1,0.9,0.0
185923022,94,1,0,98.9,1.1,0.0
185923023,19,0,0,100.0,0.0,0.0
185923024,248,0,0,100.0,0.0,0.0
185923025,23,0,0,100.0,0.0,0.0
185923026,161,1,0,99.4,0.6,0.0
187563001,562,5,9,97.6,0.9,1.6
187563002,307,2,18,93.9,0.6,5.5
187563003,47,3,2,90.4,5.8,3.8
187563004,54,1,2,94.7,1.8,3.5
187563005,164,1,3,97.6,0.6,1.8
187563006,5,0,0,100.0,0.0,0.0
187563007,411,6,0,98.6,1.4,0.0
187563008,56,2,12,80.0,2.9,17.1
187563009,38,2,0,95.0,5.0,0.0
187563010,0,0,0,0.0,0.0,0.0
187563011,0,0,0,0.0,0.0,0.0
187563012,18,0,0,100.0,0.0,0.0
187563013,24,0,0,100.0,0.0,0.0
187563014,40,0,0,100.0,0.0,0.0
187563015,5,0,1,83.3,0.0,16.7
187563016,43,0,1,97.7,0.0,2.3
187563017,3,0,0,100.0,0.0,0.0
187563018,1,0,0,100.0,0.0,0.0
187563019,1,0,0,100.0,0.0,0.0
187563020,41,0,1,97.6,0.0,2.4
187563021,0,0,0,0.0,0.0,0.0
187563022,0,0,0,0.0,0.0,0.0
187563023,0,0,0,0.0,0.0,0.0
187563024,0,0,0,0.0,0.0,0.0
187563025,5,0,0,100.0,0.0,0.0
187563026,0,0,0,0.0,0.0,0.0
187563027,0,0,0,0.0,0.0,0.0
187563028,5,0,1,83.3,0.0,16.7
187563029,0,0,0,0.0,0.0,0.0
187563030,14,0,0,100.0,0.0,0.0
187563031,0,0,0,0.0,0.0,0.0
187563032,0,0,0,0.0,0.0,0.0
187563033,0,0,0,0.0,0.0,0.0
187563034,0,0,0,0.0,0.0,0.0
187563035,0,0,0,0.0,0.0,0.0
187563036,4,0,0,100.0,0.0,0.0
187563037,7,0,0,100.0,0.0,0.0
187563038,0,0,0,0.0,0.0,0.0
187563039,0,0,0,0.0,0.0,0.0
187563040,0,0,0,0.0,0.0,0.0
187563041,9,1,0,90.0,10.0,0.0
187563042,0,0,0,0.0,0.0,0.0
187563043,0,0,0,0.0,0.0,0.0
187563044,0,0,0,0.0,0.0,0.0
187563045,0,0,0,0.0,0.0,0.0
187563046,2,0,0,100.0,0.0,0.0
187563047,0,0,0,0.0,0.0,0.0
187563048,0,0,0,0.0,0.0,0.0
187563049,0,0,0,0.0,0.0,0.0
187563050,0,0,0,0.0,0.0,0.0
187563051,0,0,0,0.0,0.0,0.0
187563052,0,0,0,0.0,0.0,0.0
187563053,0,0,0,0.0,0.0,0.0
187563054,0,0,0,0.0,0.0,0.0
187563055,0,0,0,0.0,0.0,0.0
187563056,16,0,0,100.0,0.0,0.0
187563057,0,0,0,0.0,0.0,0.0
187563058,1,0,0,100.0,0.0,0.0
187563059,0,0,0,0.0,0.0,0.0
187563060,0,0,0,0.0,0.0,0.0
187563061,0,0,0,0.0,0.0,0.0
187563062,0,0,0,0.0,0.0,0.0
187563063,11,0,0,100.0,0.0,0.0
187563064,0,0,0,0.0,0.0,0.0
187563065,0,0,0,0.0,0.0,0.0
187563066,1,0,0,100.0,0.0,0.0
187563067,0,0,0,0.0,0.0,0.0
187563068,109,2,0,98.2,1.8,0.0
187563069,7,0,0,100.0,0.0,0.0
187563070,0,0,0,0.0,0.0,0.0
187563071,0,0,0,0.0,0.0,0.0
187563072,0,0,0,0.0,0.0,0.0
187563073,0,0,0,0.0,0.0,0.0
187563074,0,0,0,0.0,0.0,0.0
187563075,0,0,0,0.0,0.0,0.0
187563076,0,0,0,0.0,0.0,0.0
187563077,0,0,0,0.0,0.0,0.0
187563078,78,0,2,97.5,0.0,2.5
187563079,0,0,0,0.0,0.0,0.0
187563080,1,0,0,100.0,0.0,0.0
187563081,0,0,0,0.0,0.0,0.0
187563082,0,0,0,0.0,0.0,0.0
187563083,0,0,0,0.0,0.0,0.0
187563084,0,0,0,0.0,0.0,0.0
187563085,0,0,0,0.0,0.0,0.0
187563086,0,0,0,0.0,0.0,0.0
187563087,0,0,0,0.0,0.0,0.0
187563088,0,0,0,0.0,0.0,0.0
187563089,0,0,0,0.0,0.0,0.0
187563090,0,0,0,0.0,0.0,0.0
187563091,0,0,0,0.0,0.0,0.0
187563092,120,15,4,86.3,10.8,2.9
187563093,0,0,0,0.0,0.0,0.0
180013001,190,3,13,92.2,1.5,6.3
180013002,129,0,30,81.1,0.0,18.9
180013003,216,10,29,84.7,3.9,11.4
