codigo,uc_sobre_p
185921000,1.03
185923001,0.05
185923002,0.03
185923003,0.53
185923004,0.37
185923006,
185923007,0.20
185923008,0.68
185923009,1.14
185923010,0.74
185923011,0.33
185923012,0.69
185923013,0.35
185923014,0.01
185923015,0.57
185923016,0.30
185923017,0.01
185923018,
185923019,1.37
185923020,0.04
185923021,0.65
185923022,
185923023,6.33
185923024,2.14
185923025,0.04
185923026,2.13
187563001,0.82
187563002,0.77
187563003,0.28
187563004,1.04
187563005,
187563006,0.21
187563007,1.69
187563008,0.88
187563009,0.61
187563010,
187563011,
187563012,0.20
187563013,0.41
187563014,0.36
187563015,0.60
187563016,
187563017,
187563018,
187563019,
187563020,
187563021,
187563022,
187563023,
187563024,
187563025,
187563026,
187563027,
187563028,
187563029,
187563030,
187563031,
187563032,
187563033,
187563034,
187563035,
187563036,
187563037,
187563038,
187563039,
187563040,
187563041,
187563042,
187563043,
187563044,
187563045,
187563046,
187563047,
187563048,
187563049,
187563050,
187563051,
187563052,
187563053,
187563054,
187563055,
187563056,
187563057,
187563058,
187563059,
187563060,
187563061,
187563062,
187563063,
187563064,
187563065,
187563066,
187563067,
187563068,
187563069,
187563070,
187563071,
187563072,
187563073,
187563074,
187563075,
187563076,
187563077,
187563078,
187563079,
187563080,
187563081,
187563082,
187563083,
187563084,
187563085,
187563086,
187563087,
187563088,
187563089,
187563090,
187563091,
187563092,0.31
187563093,
180011000,1.07
180013001,0.73
180013002,1.30
180013003,0.81
180013004,1.61
180013005,0.74
180013006,1.36
180013007,0.91
180013008,0.99
180013009,1.31
180013010,1.59
180013011,2.04
180013013,
180013014,2.88
180291000,1.07
180293001,1.47
180293002,1.07
180293003,1.24
180293004,1.03
180293005,1.18
180293006,1.05
180941000,1.08
180943001,5.86
180943002,0.90
180943003,1.23
180943004,1.11
180943005,1.02
180943006,1.06
180943007,0.87
180943008,6.36
180943009,1.67
180943010,20.00
180943011,
181501000,1.26
181503001,
181503002,0.97
181503003,0.70
181503004,0.72
181503005,0.33
181503006,0.81
181503007,1.34
181503008,0.91
181503009,1.40
181503010,0.67
181503011,1.42
181503012,0.60
181503013,0.74
181503014,12.09
181503015,63.67
181503016,0.86
181503017,
181503018,1.47
182051000,1.02
182053001,0.57
182053002,0.65
182053003,0.60
182053004,0.64
182471000,1.07
182473001,
182473003,
182473005,2.21
182473006,1.28
182473007,1.12
182473008,1.00
182473009,0.84
182473010,1.61
182473011,1.08
182473012,
182473013,
182473014,2.34
182561000,1.04
182563001,1.03
182563002,1.03
182563003,0.83
182563004,1.22
182563005,0.76
182563006,0.57
182563007,0.96
182563008,
182563009,
182563010,
182563011,
182563012,2.04
182563013,2.41
184101000,1.09
184103001,16.20
184103002,1.00
184103003,1.25
184103004,1.06
184103005,1.63
184103006,0.51
184103007,1.01
184103008,0.94
184103009,42.33
184103012,1.06
184103013,0.61
184103014,0.31
184103015,0.65
184601000,1.00
184603001,1.81
184603002,1.08
184603003,0.79
184603004,0.98
184603005,0.93
184603006,0.80
184791000,1.35
184793001,1.06
184793002,0.71
184793003,1.06
184793004,1.35
184793005,1.10
186101000,1.67
186103001,1.15
186103002,0.69
186103003,0.97
186103004,16.50
186103005,0.77
186103006,0.52
186103007,0.21
186103008,0.58
186103009,0.98
186103010,
186103011,
187533001,
187533002,
187533003,
187533004,656.00
187533005,8.22
187533007,2.22
187533008,0.70
187533009,1.14
187533011,0.73
187533012,1.88
187533013,0.49
187533014,0.45
187533015,0.32
187533016,0.16
187533017,0.13
187533018,0.48
187533019,0.55
187533020,0.58
187533021,0.27
187533022,0.42
187533023,
187533024,1.14
187533025,0.45
187533026,0.55
187533027,0.59
187533028,23.83
187533029,13.00
187533030,1.50
187533031,
187533032,
187533033,
187533034,
187533035,
187533036,
187533037,
187533038,
187533039,
187533040,9.14
187533041,
187853002,0.52
187853003,0.70
188601000,0.94
188603001,1.37
188603004,1.03
188603005,1.25
188603006,0.99
188603007,0.69
188603008,0.96
188603010,0.43
188603011,0.07
188603012,0.11
185923005,
187561000,1.26
187531000,1.28
187533010,0.26
190013002,0.24
190013003,1.35
190013004,1.31
190223001,1.01
190223003,2.70
190503001,2.06
190503002,1.68
190503003,1.77
190503005,1.40
190503006,2.13
190753001,1.15
190753002,1.00
190753004,1.38
191003001,1.35
191003002,1.44
191003003,1.28
191003004,1.26
191003006,1.23
191003007,1.26
191003008,1.25
191103001,1.34
191103003,1.40
191103006,1.27
191103007,1.57
191303001,1.02
191303002,1.07
191303004,1.06
191303005,1.10
191373003,0.78
191373004,3.37
191423003,3.10
191423004,2.47
192123001,0.87
192123002,1.35
192123003,1.70
192563001,6.21
192563002,5.69
192563003,0.01
192563004,1.74
192563005,1.99
192563006,1.28
192563007,2.00
192563008,0.54
192563009,34.44
192563010,0.28
192563011,2.60
192563012,1.56
192563013,1.58
192563014,1.13
192563015,1.30
192563016,0.98
192563017,1.02
192563018,0.97
192563019,1.02
192563020,1.01
192563021,0.99
192563022,1.18
192563023,1.23
192563024,1.09
192563025,1.13
193001000,0.99
193003002,1.10
193181000,1.06
193183001,13.15
193183002,1.77
193183003,2.03
193183004,8.61
193183005,12.17
193183006,5.25
193183007,15.27
193183008,28.33
193183009,74.00
193183010,13.13
193183011,7.29
193183012,7.43
193183013,1.23
193183014,24.00
193183015,1.90
193183016,0.53
193183017,
193183018,
193183019,
193183020,
193183022,0.53
193183023,12.33
193183024,3.63
193183025,41.00
193183026,
193551000,1.32
193553001,2.74
193553002,4.58
193553003,1.33
193553004,0.19
193553005,
193553006,2.00
193553007,1.21
193641000,2.58
193643001,5.89
193921000,2.17
193923001,1.33
193923002,1.29
193971000,1.58
193973001,1.44
193973002,1.17
193973003,2.10
193973004,2.27
193973005,1.43
194183001,9.52
194183002,0.65
194183003,1.51
194183004,
194183005,4.07
194183006,9.22
194183007,
194183008,6.10
194183009,1.29
194183010,7.78
194183011,14.80
194183012,19.44
194183013,
194183014,
194183015,
194183016,31.00
194183018,14.00
194183019,
194183020,85.00
194183021,
194183022,
194183023,
194183024,
194183025,
194183026,
194183027,
194183028,
194183029,
194183030,
194501000,1.09
194503001,1.38
194503002,1.25
194503003,1.06
194503004,1.32
194503005,1.35
194503006,1.25
194503007,0.60
194551000,1.17
194553001,1.25
194553002,2.42
194733001,26.12
194733002,262.00
194733003,1.32
195133001,1.25
195173001,3.00
195173002,9.00
195173003,
195173004,
195173005,22.25
195173006,5.62
195173007,
195173008,
195173009,354.00
195173010,212.00
195173011,259.50
195173012,3.63
195173013,2.64
195173014,1.51
195173016,4.78
195173017,2.69
195173018,1.51
195321000,0.96
195323001,1.96
195323002,1.46
195323003,1.44
195323004,1.50
195323005,2.01
195323006,0.51
195323007,1.36
195323008,1.35
195323009,1.00
195323010,1.08
195333001,1.00
195333002,
195333003,
195333004,1.00
195333005,
195333007,1.73
195333008,2.89
195333010,1.22
195333011,4.65
195333012,1.31
195333013,1.66
195333014,2.11
195731000,1.34
195733001,1.10
195851000,0.71
195853001,3.02
195853002,2.00
195853003,11.11
195853004,2.24
195853005,0.29
195853006,9.46
195853007,1.67
195853008,1.59
196931000,1.58
196933001,2.18
196933002,1.44
196933003,4.47
196933004,1.12
196933005,1.20
196983002,0.30
196983004,0.77
196983005,0.92
196983006,1.23
197013001,7.50
197013002,
197013003,
197013004,
197013005,
197013006,
197013007,
197013008,
197013009,
197013010,
197013011,
197013012,7.00
197013014,
197013015,
197013016,
197013017,
197013018,
197013019,
197013020,
197013021,3.48
197013023,
197013024,
197013027,
197013028,
197013029,
197013030,
197013031,
197013032,
197013033,
197013034,84.00
197433001,7.59
197433003,61.50
197433004,2.56
197603001,1.29
197603002,1.38
197603004,1.16
197603005,0.74
197803001,1.25
197851000,1.19
197853001,1.13
198073001,0.82
198093001,7.51
198093002,6.48
198093003,
198093004,36.40
198093006,14.17
198093007,36.32
198093008,7.81
198093010,0.80
198093011,2.96
198093012,5.67
198093013,4.91
198093014,236.00
198093015,413.00
198093016,138.00
198093017,
198093018,139.00
198093019,
198211000,1.45
198213001,21.24
198213002,44.25
198213003,52.92
198213004,1.69
198213005,13.71
198241000,1.30
198243001,0.70
198243002,1.87
198243003,2.93
198243004,0.67
197013025,
190223002,0.92
190503004,1.85
190501000,2.06
190753003,1.08
190751000,1.36
191003005,1.13
191001000,1.31
191103002,1.41
191101000,1.28
191301000,1.48
191373002,2.56
191371000,1.39
191373001,1.15
191373005,1.59
192903001,1.15
192901000,1.21
193183021,18.40
194183017,14.96
194181000,1.09
194733004,1.39
194731000,1.47
195333009,3.66
195331000,1.44
196223001,1.25
196221000,1.33
196983003,0.92
196981000,1.12
197013013,4.19
197011000,1.23
197433005,1.19
197431000,1.02
197433002,8.54
197803002,1.19
198073002,1.15
198071000,1.18
198093005,6.41
198093009,1.31
198091000,1.22
198451000,1.31
193003001,1.12
198453001,1.00
190013001,1.19
191423002,1.36
191421000,1.27
195173015,9.54
195171000,1.59
190013005,1.08
760011000,1.06
760013001,2.04
760013002,0.51
760013003,0.65
760013004,0.55
760013005,0.37
760013006,0.97
760201000,1.51
760203001,1.54
760363002,1.29
760363001,1.13
760411000,1.57
760413001,1.51
760413002,1.84
760413003,1.93
760541000,1.55
760543001,1.37
761001000,1.12
761003001,1.12
761003002,1.33
761003003,1.25
761003004,1.63
761093001,
761093002,70.00
761093003,69.25
761093004,89.00
761093005,1.63
761093006,0.79
761093007,
761093008,
761093010,2.57
761093011,21.88
761093012,
761093013,
761093014,2.00
761093015,0.84
761093016,1.05
761093017,0.64
761093018,2.36
761093019,0.66
761093020,0.38
761093021,1.71
761093022,0.50
761093023,0.30
761093024,0.66
761093025,11.00
761093026,
761093027,
761093028,
761093029,
761093030,52.50
761093031,310.00
761093033,6.67
761093034,
761093035,
761093036,
761093038,674.00
761093039,
761093041,
761093042,
761093043,
761093044,58.00
761093045,1.02
761093046,
761093047,178.00
761093048,
761093049,
761093050,134.00
761093051,
761093052,
761093053,
761093054,
761093055,
761093056,
761093057,
761093058,
761093059,
761093060,
761093061,
761093062,
761093063,
761093064,
761093065,
761111000,1.14
761113001,1.20
761113003,1.54
761113004,1.95
761113005,1.50
761113006,1.40
761113007,1.17
761113008,1.16
761131000,1.12
761133001,1.37
761133002,1.23
761133003,1.41
761221000,1.19
761223001,1.25
761223002,1.65
761263001,1.70
761263002,1.44
761263003,0.40
761263004,0.24
761263005,20.00
761263006,
761263007,
761263008,
761301000,1.66
761303001,0.96
761303002,0.99
761303003,1.10
761471000,1.02
761473001,0.83
761473002,1.24
762331000,1.40
762333001,0.38
762333002,1.86
762333003,1.19
762333004,1.66
762333005,0.89
762333006,0.90
762333007,3.11
762333008,0.85
762333009,0.34
762431000,2.10
762433001,1.56
762433002,1.56
762463001,1.38
762463002,1.54
762481000,1.24
762483001,1.24
762483002,1.05
762483003,1.37
762483004,1.54
762501000,1.06
762503001,1.45
762503002,1.45
762751000,1.37
762753001,2.01
762753002,3.44
762753003,1.22
762753004,23.78
763061000,1.48
763063001,1.22
763063002,1.29
763063003,1.21
763181000,1.07
763183001,0.87
763183002,1.52
763643001,1.46
763643002,0.10
763643003,1.44
763771000,1.85
763773001,1.64
763773002,1.35
764031000,1.12
764033001,0.98
764033002,1.11
764033003,1.34
764971000,1.22
764973001,1.24
764973002,1.24
765201000,1.08
765203001,1.18
765203002,0.78
765203003,1.23
765203004,0.96
765203005,1.07
765203006,1.18
765203007,1.57
765203008,1.79
765203009,1.45
765631000,1.16
765633001,1.03
765633002,0.84
765633003,1.30
766063001,0.71
766161000,1.13
766163001,1.36
766163002,1.08
766221000,1.13
766223001,1.50
766703002,1.09
767361000,1.39
767363001,1.73
767363002,1.27
767363003,1.35
767363004,1.35
767363005,1.57
768231000,1.29
768233001,1.41
768233002,1.17
768283003,1.19
768341000,1.42
768343001,0.96
768343002,0.44
768343003,1.45
768343004,1.42
768343005,1.57
768343006,1.43
768343007,1.68
768451000,1.18
768453001,1.55
768631000,1.18
768633001,1.16
768633002,1.18
768693001,1.31
768901000,1.16
768903001,1.32
768903002,1.10
768921000,0.67
768923001,1.18
768923002,0.70
768953001,1.18
768953002,1.95
768953003,2.01
762461000,1.60
766223002,1.34
860011000,1.17
860013002,1.16
860013003,2.71
862191000,1.57
863201000,2.15
863203001,1.30
863203002,1.68
863203003,1.57
863203004,4.63
865683001,0.73
865683002,1.86
865683004,0.98
865683003,1.63
865683005,3.33
865683006,1.00
865693001,1.11
865693003,1.84
865693002,1.23
865693005,0.95
865693006,0.19
865693007,2.28
865693008,0.89
865693009,0.97
865711000,2.10
865713001,3.21
865713002,1.17
865713003,1.35
865713004,2.76
865713008,3.03
865713006,0.53
865713007,42.00
865713005,25.25
865713009,22.00
865731000,4.64
865733001,
865733016,
865733022,
865733004,0.49
865733005,
865733006,
865733007,
865733008,
865733009,
865733010,
865733011,
865733012,
865733013,
865733014,
865733015,
865733002,
865733017,0.97
865733018,
865733019,
865733020,
865733021,
865733003,
867491000,1.10
867551000,2.85
867553001,
867553002,0.30
867553003,
867553004,
867571000,1.48
867573001,1.46
867573003,2.23
867573004,2.21
867603002,1.51
867603003,
868653002,1.22
868653003,1.64
868653004,1.84
868653005,1.97
868653006,1.05
868653007,1.03
868653008,2.02
868851000,1.21
868853001,1.93
868853002,1.06
868853003,1.27
868853004,0.68
868853005,1.14
868853006,1.08
868853007,1.20
868853008,0.50
868853009,
868853010,0.67
868853011,0.89
868853012,2.61
868853013,1.06
865691000,2.63
860013001,1.33
862193001,1.91
865693004,0.94
867493001,1.13
867573002,1.26
520011000,0.80
520013001,1.25
520013002,1.10
520013003,1.01
520013004,1.14
520013005,1.11
520013006,1.15
520013007,1.15
520013008,0.76
520013009,1.22
520013010,1.06
520013011,3.82
520013012,1.97
520191000,1.33
520193001,1.32
520221000,1.14
520223001,1.20
520361000,1.31
520363001,1.16
520511000,1.75
520513001,1.62
520793006,
520793008,1.12
520793009,
520793010,
520793011,
520793012,
520793013,
520793014,
520793015,
520793016,
520793017,
520793018,
520793019,
520793020,
520793021,
520793022,
520793023,
520793024,
520793025,
520793026,
520793027,
520793028,
520793029,
520793030,
520793031,
520793032,
520793033,
520793034,
520793035,
520793036,
520833001,1.32
521103001,1.35
521103002,1.43
521103003,1.31
521103004,1.14
521103005,1.07
522031000,1.91
522033001,1.42
522073001,1.24
522101000,1.28
522103001,1.18
522151000,1.64
522153001,1.30
522153002,0.43
522153003,1.17
522153004,3.00
522241000,1.36
522243001,1.47
522271000,1.13
522273001,
522273002,0.58
522273003,1.48
522273004,1.84
522273005,
522273006,
522273007,
522333001,
522333002,13.06
522401000,1.61
522503003,2.02
522503001,
522503002,
522503004,
522503005,
522503007,
522503008,
522503009,
522503010,
522503011,
522503012,
522503013,
522503014,
522503015,
522503016,
522503017,
522503018,
522503019,
522503020,
522503022,
522503023,
522503024,
522503025,
522503026,
522541000,1.61
522543001,1.18
522561000,2.95
522563001,66.28
522563002,2.49
522563003,
522563004,
522563005,
522563006,
522581000,1.77
522583001,1.70
522583002,2.05
522583003,2.09
522601000,1.05
522603001,1.15
522603002,1.22
522603003,1.20
522871000,1.16
522873001,1.25
522873002,1.13
522873003,8.73
522873004,
523171000,1.47
523173001,1.76
523173002,1.02
523201000,1.22
523203001,1.19
523231000,1.23
523233001,1.11
523233002,1.18
523521000,1.56
523523001,1.14
523541000,1.19
523563003,1.11
523563004,
523563005,
523563006,
523563007,
523563008,
523563009,
523563010,
523563011,
523563012,0.96
523563013,1.38
523563014,
523563015,1.41
523781000,1.33
523783001,1.60
523783002,1.39
523811000,0.92
523813001,1.13
523813002,1.22
523903001,
523903002,
523903003,1.43
523903004,
524051000,1.55
524053001,5.59
524053002,21.95
524183001,
524183002,
524183003,
524183004,
524183005,12.58
524183006,
524183007,
524183008,
524183009,
524183010,
524183011,
524273001,
524273002,
524273003,
524273004,
524273005,
524273006,
524273007,
524273008,
524273009,
524273010,
524273011,
524273012,
524273013,
524273014,
524273015,
524273016,
524273017,
524273018,
524273019,
524351000,2.46
524353001,
524353002,844.00
524353003,
524353004,178.00
524353006,
524733001,
524733002,
524733003,0.23
524733004,
524733007,
524733008,
524733009,
524801000,1.53
524803001,1.20
524901000,3.15
524903001,
524903002,
524903003,0.93
524903004,1089.00
524903005,
524903006,
524903007,
524903008,
525061000,2.03
525063001,1.42
525201000,2.07
525203001,
525203002,
525203003,
525203004,
525203005,4.64
525203006,
525401000,
525403001,
525403002,
525403003,
525403004,5.67
525403005,
525403006,
525403007,0.73
525601000,1.86
525603001,1.14
525603002,0.46
525603003,0.31
525653001,1.54
525731000,1.50
525733001,1.33
525733002,2.07
525733003,1.26
525851000,1.14
526123001,
526123002,
526123003,
526123004,16.14
526123005,
526123014,
526123015,
526123016,
526123017,
526123018,
526123019,
526123020,
526123021,
526213001,1.22
526213002,
526213003,
526213004,0.91
526213005,
526213006,
526213007,
526213008,
526213009,
526213010,
526213011,
526213012,
526783001,
526783002,
526783003,803.00
526783004,
526783005,24.27
526833001,1.15
526853001,1.30
526873001,1.26
526873002,1.11
526931000,1.47
526933001,1.44
526941000,1.36
526943001,1.39
526961000,2.86
526963001,
526963002,384.00
526963003,
526963004,
526963005,95.00
526963006,
526963007,
526963008,
526963009,
526963010,
526993001,
526993002,
526993003,30.10
526993004,455.00
527203001,1.23
527863001,0.85
527863002,1.25
527881000,1.30
527883001,1.16
527883002,1.16
528353001,78.00
528353002,205.00
528353003,
528353004,
528353005,249.00
528353006,517.67
528353007,
528353008,233.50
528353009,91.73
528353010,74.83
528353011,
528353012,1.36
528353013,0.84
528353015,8.09
528353017,0.35
528353018,24.47
528353019,7.21
528353020,4.38
528353021,8.75
528353022,3.51
528353023,8.32
528353024,0.49
528353025,4.73
528353026,
528353027,1.42
528353028,0.60
528353029,6.75
528353030,
528381000,1.26
